"","Keywords","Female.North","Female.Middle","Female.South","Female.East","Male.East","Male.North","Male.Middle","Male.South"
"1","阿爸",0.000199009195613668,0.000376120067440027,0.000175938927019077,0,0,0.000229569979784275,0,0
"2","阿伯",0.000475000316996966,0.000718186516807016,0.00167974240282649,0.00139509484538283,0,0.000876709744666922,0,0.000902269795531847
"3","阿根廷",0.000536025751193178,0,0.000568663946781231,0,0,0,0,0
"4","阿里山",0.000102700615831195,0,0.000544769886571948,0,0,0.000710830820480358,0,0
"5","阿美",0.000410802463324779,0,0.000181589962190649,0,0,0,0,0.000487703167404405
"6","阿娘",0.000321615450715907,0,0.000568663946781231,0,0,0,0,0
"7","阿婆",0.00133000088759151,0.000359093258403508,0.00100784544169589,0,0,0.000657532308500192,0.000950900647397025,0.00135340469329777
"8","阿薩姆",0.000679179015430189,0.0011002486147138,0,0.00284967973287506,0,0.00067155165093072,0,0.000460753610842652
"9","阿斯",9.95045978068342e-05,0.000752240134880055,0.000175938927019077,0,0,0.000229569979784275,0,0
"10","愛戴",0.00057000038039636,0.00107727977521052,0.00100784544169589,0.00139509484538283,0,0.000657532308500192,0,0.000451134897765924
"11","愛爾蘭",0.000497522989034171,0.000376120067440027,0,0,0,0.0018365598382742,0,0.000945051928441391
"12","愛河",0.000199009195613668,0,0.000175938927019077,0,0,0.000459139959568551,0.000497994333307485,0
"13","愛麗絲",0.000199009195613668,0.000564180101160041,0.000175938927019077,0,0,0,0,0.000472525964220695
"14","愛馬仕",9.95045978068342e-05,0.000376120067440027,0.000351877854038153,0,0,0.000229569979784275,0,0
"15","愛美",0.000485127868164421,0.000183374769118967,0.000686222574418872,0,0,0.00022385055031024,0,0.000921507221685303
"16","愛情",0.00057000038039636,0.000359093258403508,0.000671896961130595,0,0.00663760943415386,0.00109588718083365,0.00142635097109554,0
"17","愛玩",0.000718904310818363,0.000194100390353561,0,0,0,0,0,0.000487703167404405
"18","愛心",0.00298520060475061,0.00440774957549128,0.00626795586293283,0.00547978315368666,0,0.00215226374455764,0.000466879489025537,0.00221501195868469
"19","安城",0.000308101847493584,0.000388200780707123,0.000363179924381298,0,0,0,0,0
"20","安東",0.000199009195613668,0.000564180101160041,0,0,0,0.000229569979784275,0,0.000472525964220695
"21","安撫",0.000205401231662389,0.000582301171060684,0,0,0,0.000473887213653572,0,0
"22","安格斯",0.000776204589063073,0.000183374769118967,0.000171555643604718,0,0.00338956543740546,0,0.00194234987809843,0
"23","安南",0.000199009195613668,0.000376120067440027,0.000351877854038153,0,0,0,0,0.000945051928441391
"24","安平",0.00028500019019818,0.0019750129212193,0.000671896961130595,0.00139509484538283,0,0.000438354872333461,0,0.00135340469329777
"25","奧",9.70255736328842e-05,0,0,0.00142483986643753,0.00338956543740546,0.00044770110062048,0.000485587469524607,0
"26","奧地利",0.000643230901431814,0,0,0,0.00374518653541443,0,0,0
"27","澳門",0.00116430688359461,0.000733499076475867,0.000686222574418872,0,0,0.00156695385217168,0,0.00276452166505591
"28","八寶",0.000485127868164421,0.0005501243073569,0.000343111287209436,0,0,0.00089540220124096,0,0.000460753610842652
"29","八寶粥",0.000308101847493584,0.000194100390353561,0,0.00301635798202334,0,0,0,0
"30","八方",0.000665000443795753,0.000538639887605262,0.000335948480565298,0,0,0.00131506461700038,0.000475450323698513,0.00270680938659554
"31","八卦",0.000380000253597573,0.000359093258403508,0.000671896961130595,0.00279018969076565,0,0.000657532308500192,0.000950900647397025,0
"32","巴",0.000308101847493584,0.000388200780707123,0,0,0,0.000473887213653572,0,0
"33","巴拉巴",0.000388102294531537,0.0005501243073569,0.000171555643604718,0,0,0.00022385055031024,0.000485587469524607,0
"34","巴黎",0.000597027586841005,0.000188060033720014,0.000351877854038153,0,0,0.00160698985848993,0,0
"35","巴薩",9.95045978068342e-05,0.000376120067440027,0,0,0,0.000688709939352826,0.000497994333307485,0
"36","巴士",0.000388102294531537,0.000366749538237933,0.000343111287209436,0,0,0.00044770110062048,0.000485587469524607,0
"37","巴西",0.000475000316996966,0,0.00117581968197854,0.00139509484538283,0,0.000219177436166731,0.000475450323698513,0.000902269795531847
"38","芭",9.95045978068342e-05,0,0.000351877854038153,0.00146124483000179,0,0.000459139959568551,0,0
"39","芭樂",0.00064262831762523,0.000867531362841032,0.000973939230666457,0.00134816068437295,0.00962145775281711,0.00232984190036642,0.00183782037731445,0.00610340772415099
"40","爸",0.00161500107778969,0.00215455955042105,0.000671896961130595,0,0,0.00109588718083365,0.000475450323698513,0.000451134897765924
"41","爸爸媽媽",0.00102700615831195,0.000388200780707123,0.000544769886571948,0,0,0,0,0
"42","霸",0.000308101847493584,0,0.000181589962190649,0,0,0,0,0.000975406334808811
"43","霸氣",0.000582153441797305,0,0.000514666930814154,0,0,0.00022385055031024,0.000971174939049215,0.000921507221685303
"44","霸王",0.000194051147265768,0.000733499076475867,0.000514666930814154,0.00142483986643753,0,0.00067155165093072,0,0
"45","吧台",0.00126133245722749,0,0.000343111287209436,0,0,0.00044770110062048,0.00145676240857382,0.00138226083252795
"46","吧檯",9.50000633993933e-05,0.000359093258403508,0.000335948480565298,0,0,0.00109588718083365,0.00237725161849256,0.000902269795531847
"47","白白",0.000597027586841005,0.000188060033720014,0.00123157248913354,0,0,0,0,0.000945051928441391
