"","city","total_post","log"
"1","台北市",81386,11.3069585470266
"2","新北市",3894,8.26719218593215
"3","基隆市",421,6.04263283368238
"4","桃園市",10535,9.26245832623829
"5","宜蘭縣",1143,7.04141166379481
"6","新竹市",754,6.62539236800796
"7","新竹縣",8452,9.04215837873595
"8","苗栗縣",1361,7.21597500265147
"9","台中市",19170,9.86110183603969
"10","彰化縣",1742,7.46278915741245
"11","雲林縣",724,6.58479139238572
"12","南投縣",455,6.12029741895095
"13","嘉義市",420,6.04025471127741
"14","嘉義縣",1758,7.47193207824512
"15","台南市",10657,9.27397223222096
"16","高雄市",14405,9.57533064751863
"17","屏東縣",1387,7.23489842031483
"18","花蓮縣",1863,7.52994337060159
"19","台東縣",357,5.87773578177964
"20","金門縣",105,4.65396035015752
"21","澎湖縣",60,4.0943445622221
